Country,location
Ã…land Islands,"(19.9, 60.116667)"
Albania,"(20, 41)"
Andorra,"(1.5, 42.5)"
Austria,"(13.33333333, 47.33333333)"
Belgium,"(4, 50.83333333)"
Bulgaria,"(25, 43)"
Bosnia and Herzegovina,"(18, 44)"
Belarus,"(28, 53)"
Switzerland,"(8, 47)"
Cyprus,"(33, 35)"
Czechia,"(15.5, 49.75)"
Germany,"(9, 51)"
Denmark,"(10, 56)"
Spain,"(-4, 40)"
Estonia,"(26, 59)"
Finland,"(26, 64)"
France,"(2, 46)"
Faroe Islands,"(-7, 62)"
United Kingdom,"(-2, 54)"
Guernsey,"(-2.58333333, 49.46666666)"
Gibraltar,"(-5.35, 36.13333333)"
Greece,"(22, 39)"
Croatia,"(15.5, 45.16666666)"
Hungary,"(20, 47)"
Isle of Man,"(-4.5, 54.25)"
Ireland,"(-8, 53)"
Iceland,"(-18, 65)"
Italy,"(12.83333333, 42.83333333)"
Jersey,"(-2.16666666, 49.25)"
Kosovo,"(21.166667, 42.666667)"
Liechtenstein,"(9.53333333, 47.26666666)"
Lithuania,"(24, 56)"
Luxembourg,"(6.16666666, 49.75)"
Latvia,"(25, 57)"
Monaco,"(7.4, 43.73333333)"
Moldova,"(29, 47)"
North Macedonia,"(22, 41.83333333)"
Malta,"(14.58333333, 35.83333333)"
Montenegro,"(19.3, 42.5)"
Netherlands,"(5.75, 52.5)"
Norway,"(10, 62)"
Poland,"(20, 52)"
Portugal,"(-8, 39.5)"
Romania,"(25, 46)"
Russia,"(100, 60)"
Svalbard and Jan Mayen,"(20, 78)"
San Marino,"(12.41666666, 43.76666666)"
Serbia,"(21, 44)"
Slovakia,"(19.5, 48.66666666)"
Slovenia,"(14.81666666, 46.11666666)"
Sweden,"(15, 62)"
Ukraine,"(32, 49)"
Vatican City,"(12.45, 41.9)"
